data,hora,estacao,feriado,dia_util,temperatura,quantidade_de_bikes_utilizadas
2021-01-01,0:00:00,primavera,0,0,14.395,16
2021-01-01,1:00:00,primavera,0,0,13.635,40
2021-01-01,2:00:00,primavera,0,0,13.635,32
2021-01-01,3:00:00,primavera,0,0,14.395,13
2021-01-01,4:00:00,primavera,0,0,14.395,1
2021-01-01,5:00:00,primavera,0,0,12.88,1
2021-01-01,6:00:00,primavera,0,0,13.635,2
2021-01-01,7:00:00,primavera,0,0,12.88,3
2021-01-01,8:00:00,primavera,0,0,14.395,8
2021-01-01,9:00:00,primavera,0,0,17.425,14
2021-01-01,10:00:00,primavera,0,0,19.695,36
2021-01-01,11:00:00,primavera,0,0,16.665,56
2021-01-01,12:00:00,primavera,0,0,21.21,84
2021-01-01,13:00:00,primavera,0,0,22.725,94
2021-01-01,14:00:00,primavera,0,0,22.725,106
2021-01-01,15:00:00,primavera,0,0,21.97,110
2021-01-01,16:00:00,primavera,0,0,21.21,93
2021-01-01,17:00:00,primavera,0,0,21.97,67
2021-01-01,18:00:00,primavera,0,0,21.21,35
2021-01-01,19:00:00,primavera,0,0,21.21,37
2021-01-01,20:00:00,primavera,0,0,20.455,36
2021-01-01,21:00:00,primavera,0,0,20.455,34
2021-01-01,22:00:00,primavera,0,0,20.455,28
2021-01-01,23:00:00,primavera,0,0,22.725,39
2021-01-02,0:00:00,primavera,0,0,22.725,17
2021-01-02,1:00:00,primavera,0,0,21.97,17
2021-01-02,2:00:00,primavera,0,0,21.21,9
2021-01-02,3:00:00,primavera,0,0,22.725,6
2021-01-02,4:00:00,primavera,0,0,22.725,3
2021-01-02,6:00:00,primavera,0,0,21.21,2
2021-01-02,7:00:00,primavera,0,0,20.455,1
2021-01-02,8:00:00,primavera,0,0,20.455,8
2021-01-02,9:00:00,primavera,0,0,19.695,20
2021-01-02,10:00:00,primavera,0,0,17.425,53
2021-01-02,11:00:00,primavera,0,0,16.665,70
2021-01-02,12:00:00,primavera,0,0,16.665,93
2021-01-02,13:00:00,primavera,0,0,17.425,75
2021-01-02,14:00:00,primavera,0,0,17.425,59
2021-01-02,15:00:00,primavera,0,0,16.665,74
2021-01-02,16:00:00,primavera,0,0,16.665,76
2021-01-02,17:00:00,primavera,0,0,16.665,65
2021-01-02,18:00:00,primavera,0,0,16.665,53
2021-01-02,19:00:00,primavera,0,0,14.395,30
2021-01-02,20:00:00,primavera,0,0,13.635,22
2021-01-02,21:00:00,primavera,0,0,11.365,31
2021-01-02,22:00:00,primavera,0,0,10.605,9
2021-01-02,23:00:00,primavera,0,0,11.365,8
2021-01-03,0:00:00,primavera,0,1,9.85,5
2021-01-03,1:00:00,primavera,0,1,8.335,2
2021-01-03,4:00:00,primavera,0,1,6.82,1
2021-01-03,5:00:00,primavera,0,1,6.82,3
2021-01-03,6:00:00,primavera,0,1,5.305,30
2021-01-03,7:00:00,primavera,0,1,6.82,64
2021-01-03,8:00:00,primavera,0,1,6.06,154
2021-01-03,9:00:00,primavera,0,1,6.82,88
2021-01-03,10:00:00,primavera,0,1,8.335,44
2021-01-03,11:00:00,primavera,0,1,9.09,51
2021-01-03,12:00:00,primavera,0,1,10.605,61
2021-01-03,13:00:00,primavera,0,1,10.605,61
2021-01-03,14:00:00,primavera,0,1,12.12,77
2021-01-03,15:00:00,primavera,0,1,12.12,72
2021-01-03,16:00:00,primavera,0,1,12.12,76
2021-01-03,17:00:00,primavera,0,1,11.365,157
2021-01-03,18:00:00,primavera,0,1,12.88,157
2021-01-03,19:00:00,primavera,0,1,12.88,110
2021-01-03,20:00:00,primavera,0,1,11.365,52
2021-01-03,21:00:00,primavera,0,1,9.85,52
2021-01-03,22:00:00,primavera,0,1,7.575,20
2021-01-03,23:00:00,primavera,0,1,10.605,12
2021-01-04,0:00:00,primavera,0,1,9.09,5
2021-01-04,1:00:00,primavera,0,1,9.09,2
2021-01-04,2:00:00,primavera,0,1,7.575,1
2021-01-04,4:00:00,primavera,0,1,9.09,2
2021-01-04,5:00:00,primavera,0,1,7.575,4
2021-01-04,6:00:00,primavera,0,1,7.575,36
2021-01-04,7:00:00,primavera,0,1,7.575,94
2021-01-04,8:00:00,primavera,0,1,7.575,179
2021-01-04,9:00:00,primavera,0,1,7.575,100
2021-01-04,10:00:00,primavera,0,1,6.82,42
2021-01-04,11:00:00,primavera,0,1,10.605,57
2021-01-04,12:00:00,primavera,0,1,11.365,78
2021-01-04,13:00:00,primavera,0,1,11.365,97
2021-01-04,14:00:00,primavera,0,1,12.88,63
2021-01-04,15:00:00,primavera,0,1,13.635,65
2021-01-04,16:00:00,primavera,0,1,14.395,83
2021-01-04,17:00:00,primavera,0,1,13.635,212
2021-01-04,18:00:00,primavera,0,1,12.88,182
2021-01-04,19:00:00,primavera,0,1,12.88,112
2021-01-04,20:00:00,primavera,0,1,12.88,54
2021-01-04,21:00:00,primavera,0,1,13.635,48
2021-01-04,22:00:00,primavera,0,1,12.88,35
2021-01-04,23:00:00,primavera,0,1,11.365,11
2021-01-05,0:00:00,primavera,0,1,12.88,6
2021-01-05,1:00:00,primavera,0,1,9.85,6
2021-01-05,2:00:00,primavera,0,1,9.85,2
2021-01-05,4:00:00,primavera,0,1,11.365,2
2021-01-05,5:00:00,primavera,0,1,11.365,3
2021-01-05,6:00:00,primavera,0,1,9.85,33
2021-01-05,7:00:00,primavera,0,1,9.09,88
2021-01-05,8:00:00,primavera,0,1,9.09,195
2021-01-05,9:00:00,primavera,0,1,9.85,115
2021-01-05,10:00:00,primavera,0,1,9.85,57
2021-01-05,11:00:00,primavera,0,1,11.365,46
2021-01-05,12:00:00,primavera,0,1,11.365,79
2021-01-05,13:00:00,primavera,0,1,12.88,71
2021-01-05,14:00:00,primavera,0,1,14.395,62
2021-01-05,15:00:00,primavera,0,1,14.395,62
2021-01-05,16:00:00,primavera,0,1,15.91,89
2021-01-05,17:00:00,primavera,0,1,11.365,190
2021-01-05,18:00:00,primavera,0,1,12.12,169
2021-01-05,19:00:00,primavera,0,1,12.88,132
2021-01-05,20:00:00,primavera,0,1,11.365,89
